# Game Session ID 
172 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    17:17:38 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Throw number 1 of 30
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Bad ball 
 Ball 2 -> Ok ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.480001 30.000000 3.500000 	 -3.490000 30.000000 3.500000 	 -0.470000 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 -8.500002 29.894936 3.546700 	 -3.500000 29.894936 3.535638 	 -0.500000 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 -8.520002 29.789871 3.593199 	 -3.510000 29.789871 3.571076 	 -0.530000 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 -8.540002 29.684807 3.639499 	 -3.520000 29.684807 3.606314 	 -0.560000 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 -8.560002 29.579742 3.685599 	 -3.530000 29.579742 3.641352 	 -0.590000 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 -8.580002 29.474678 3.731498 	 -3.540000 29.474678 3.676190 	 -0.620000 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 -8.600002 29.369614 3.777198 	 -3.550000 29.369614 3.710828 	 -0.650000 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 -8.620002 29.264549 3.822698 	 -3.560000 29.264549 3.745265 	 -0.680000 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 -8.640002 29.159485 3.867997 	 -3.570000 29.159485 3.779504 	 -0.710000 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 -8.660002 29.054420 3.913097 	 -3.580000 29.054420 3.813541 	 -0.740000 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 -8.680002 28.949356 3.957997 	 -3.590000 28.949356 3.847379 	 -0.770000 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 -8.700002 28.844292 4.002697 	 -3.600000 28.844292 3.881017 	 -0.800000 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
 -8.720002 28.739227 4.047196 	 -3.610000 28.739227 3.914455 	 -0.830000 28.739227 4.251413 	                    	                    	                    	                    	                    	                    	                    	
 -8.740002 28.634163 4.091496 	 -3.620000 28.634163 3.947693 	 -0.860000 28.634163 4.312731 	                    	                    	                    	                    	                    	                    	                    	
 -8.760002 28.529099 4.135596 	 -3.630000 28.529099 3.980731 	 -0.890000 28.529099 4.373848 	                    	                    	                    	                    	                    	                    	                    	
 -8.780002 28.424034 4.179495 	 -3.640001 28.424034 4.013569 	 -0.920000 28.424034 4.434766 	                    	                    	                    	                    	                    	                    	                    	
 -8.800002 28.318970 4.223195 	 -3.650001 28.318970 4.046207 	 -0.950000 28.318970 4.495484 	                    	                    	                    	                    	                    	                    	                    	
 -8.820002 28.213905 4.266695 	 -3.660001 28.213905 4.078645 	 -0.980000 28.213905 4.556002 	                    	                    	                    	                    	                    	                    	                    	
 -8.840002 28.108841 4.309995 	 -3.670001 28.108841 4.110883 	 -1.010000 28.108841 4.616320 	                    	                    	                    	                    	                    	                    	                    	
 -8.860002 28.003777 4.353094 	 -3.680001 28.003777 4.142921 	 -1.040000 28.003777 4.676437 	                    	                    	                    	                    	                    	                    	                    	
 -8.880002 27.898712 4.395994 	 -3.690001 27.898712 4.174759 	 -1.070000 27.898712 4.736355 	                    	                    	                    	                    	                    	                    	                    	
 -8.900002 27.793648 4.438694 	 -3.700001 27.793648 4.206397 	 -1.100000 27.793648 4.796073 	                    	                    	                    	                    	                    	                    	                    	
 -8.920002 27.688583 4.481194 	 -3.710001 27.688583 4.237835 	 -1.130000 27.688583 4.855591 	                    	                    	                    	                    	                    	                    	                    	
 -8.940002 27.583519 4.523493 	 -3.720001 27.583519 4.269073 	 -1.160000 27.583519 4.914909 	                    	                    	                    	                    	                    	                    	                    	
 -8.960002 27.478455 4.565593 	 -3.730000 27.478455 4.300111 	 -1.190000 27.478455 4.974027 	                    	                    	                    	                    	                    	                    	                    	
 -8.980002 27.373390 4.607492 	 -3.740000 27.373390 4.330949 	 -1.220000 27.373390 5.032944 	                    	                    	                    	                    	                    	                    	                    	
 -9.000002 27.268326 4.649192 	 -3.750000 27.268326 4.361587 	 -1.250000 27.268326 5.091662 	                    	                    	                    	                    	                    	                    	                    	
 -9.020002 27.163261 4.690692 	 -3.760000 27.163261 4.392025 	 -1.280000 27.163261 5.150180 	                    	                    	                    	                    	                    	                    	                    	
 -9.040002 27.058197 4.731991 	 -3.770000 27.058197 4.422263 	 -1.310000 27.058197 5.208498 	                    	                    	                    	                    	                    	                    	                    	
 -9.060002 26.953133 4.773091 	 -3.780000 26.953133 4.452301 	 -1.340000 26.953133 5.266615 	                    	                    	                    	                    	                    	                    	                    	
 -9.080002 26.848068 4.813991 	 -3.790000 26.848068 4.482138 	 -1.370000 26.848068 5.324533 	                    	                    	                    	                    	                    	                    	                    	
 -9.100002 26.743004 4.854691 	 -3.800000 26.743004 4.511776 	 -1.400000 26.743004 5.382250 	                    	                    	                    	                    	                    	                    	                    	
 -9.120002 26.637939 4.895190 	 -3.810000 26.637939 4.541214 	 -1.430000 26.637939 5.439768 	                    	                    	                    	                    	                    	                    	                    	
 -9.140002 26.532875 4.935490 	 -3.820000 26.532875 4.570452 	 -1.460000 26.532875 5.497086 	                    	                    	                    	                    	                    	                    	                    	
 -9.160002 26.427811 4.975589 	 -3.830000 26.427811 4.599490 	 -1.490000 26.427811 5.554204 	                    	                    	                    	                    	                    	                    	                    	
 -9.180002 26.322746 5.015489 	 -3.840000 26.322746 4.628328 	 -1.520000 26.322746 5.611121 	                    	                    	                    	                    	                    	                    	                    	
 -9.200002 26.217682 5.055189 	 -3.850000 26.217682 4.656966 	 -1.550000 26.217682 5.667839 	                    	                    	                    	                    	                    	                    	                    	
 -9.220002 26.112617 5.094688 	 -3.860000 26.112617 4.685404 	 -1.580000 26.112617 5.724357 	                    	                    	                    	                    	                    	                    	                    	
 -9.240002 26.007553 5.133988 	 -3.870000 26.007553 4.713642 	 -1.610000 26.007553 5.780674 	                    	                    	                    	                    	                    	                    	                    	
 -9.260002 25.902489 5.173088 	 -3.880000 25.902489 4.741680 	 -1.640000 25.902489 5.836792 	                    	                    	                    	                    	                    	                    	                    	
 -9.280002 25.797424 5.211987 	 -3.890000 25.797424 4.769517 	 -1.670000 25.797424 5.892710 	                    	                    	                    	                    	                    	                    	                    	
 -9.300002 25.692362 5.250687 	 -3.900000 25.692362 4.797155 	 -1.700000 25.692362 5.948428 	                    	                    	                    	                    	                    	                    	                    	
 -9.320002 25.587297 5.289186 	 -3.910000 25.587297 4.824594 	 -1.730000 25.587297 6.003945 	                    	                    	                    	                    	                    	                    	                    	
 -9.340002 25.482233 5.327486 	 -3.920000 25.482233 4.851831 	 -1.760000 25.482233 6.059263 	                    	                    	                    	                    	                    	                    	                    	
 -9.360002 25.377169 5.365586 	 -3.930000 25.377169 4.878869 	 -1.790000 25.377169 6.114381 	                    	                    	                    	                    	                    	                    	                    	
 -9.380002 25.272104 5.403486 	 -3.940000 25.272104 4.905707 	 -1.820000 25.272104 6.169299 	                    	                    	                    	                    	                    	                    	                    	
 -9.400002 25.167040 5.441185 	 -3.950000 25.167040 4.932345 	 -1.850000 25.167040 6.224016 	                    	                    	                    	                    	                    	                    	                    	
 -9.420002 25.061975 5.478685 	 -3.960000 25.061975 4.958783 	 -1.880000 25.061975 6.278534 	                    	                    	                    	                    	                    	                    	                    	
 -9.440001 24.956911 5.515985 	 -3.970000 24.956911 4.985021 	 -1.909999 24.956911 6.332851 	                    	                    	                    	                    	                    	                    	                    	
 -9.460002 24.851847 5.553084 	 -3.980000 24.851847 5.011059 	 -1.939999 24.851847 6.386970 	                    	                    	                    	                    	                    	                    	                    	
 -9.480001 24.746782 5.589984 	 -3.990000 24.746782 5.036897 	 -1.969999 24.746782 6.440887 	                    	                    	                    	                    	                    	                    	                    	
 -9.500002 24.641718 5.626684 	 -4.000000 24.641718 5.062535 	 -1.999999 24.641718 6.494605 	                    	                    	                    	                    	                    	                    	                    	
 -9.520001 24.536654 5.663183 	 -4.010000 24.536654 5.087973 	 -2.029999 24.536654 6.548122 	                    	                    	                    	                    	                    	                    	                    	
 -9.540002 24.431589 5.699483 	 -4.020000 24.431589 5.113211 	 -2.059999 24.431589 6.601440 	                    	                    	                    	                    	                    	                    	                    	
 -9.560001 24.326525 5.735583 	 -4.030000 24.326525 5.138248 	 -2.089999 24.326525 6.654558 	                    	                    	                    	                    	                    	                    	                    	
 -9.580002 24.221460 5.771482 	 -4.040000 24.221460 5.163086 	 -2.119999 24.221460 6.707476 	                    	                    	                    	                    	                    	                    	                    	
 -9.600001 24.116396 5.807182 	 -4.050000 24.116396 5.187725 	 -2.149999 24.116396 6.760193 	                    	                    	                    	                    	                    	                    	                    	
 -9.620002 24.011332 5.842681 	 -4.060000 24.011332 5.212162 	 -2.179999 24.011332 6.812711 	                    	                    	                    	                    	                    	                    	                    	
 -9.640001 23.906269 5.877981 	 -4.070000 23.906269 5.236400 	 -2.209999 23.906269 6.865029 	                    	                    	                    	                    	                    	                    	                    	
 -9.660002 23.801205 5.913081 	 -4.080000 23.801205 5.260438 	 -2.239999 23.801205 6.917147 	                    	                    	                    	                    	                    	                    	                    	
 -9.680001 23.696140 5.947981 	 -4.090000 23.696140 5.284276 	 -2.269999 23.696140 6.969064 	                    	                    	                    	                    	                    	                    	                    	
 -9.700002 23.591076 5.982680 	 -4.100000 23.591076 5.307914 	 -2.299999 23.591076 7.020782 	                    	                    	                    	                    	                    	                    	                    	
 -9.720001 23.486012 6.017180 	 -4.110000 23.486012 5.331352 	 -2.329999 23.486012 7.072300 	                    	                    	                    	                    	                    	                    	                    	
 -9.740002 23.380947 6.051480 	 -4.120000 23.380947 5.354590 	 -2.359999 23.380947 7.123618 	                    	                    	                    	                    	                    	                    	                    	
 -9.760001 23.275883 6.085579 	 -4.130000 23.275883 5.377628 	 -2.389999 23.275883 7.174735 	                    	                    	                    	                    	                    	                    	                    	
 -9.780002 23.170818 6.119479 	 -4.140000 23.170818 5.400466 	 -2.419999 23.170818 7.225653 	                    	                    	                    	                    	                    	                    	                    	
