# Game Session ID 
168 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:57:24 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Throw number 1 of 30
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Bad ball 
 Ball 2 -> Ok ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -7.880000 30.000000 3.500000 	 -4.090000 30.000000 3.500000 	 0.130000 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 -7.900000 29.894936 3.546700 	 -4.100000 29.894936 3.535638 	 0.100000 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 -7.920000 29.789871 3.593199 	 -4.110001 29.789871 3.571076 	 0.070000 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 -7.940000 29.684807 3.639499 	 -4.120000 29.684807 3.606314 	 0.040000 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 -7.960000 29.579742 3.685599 	 -4.130001 29.579742 3.641352 	 0.010000 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 -7.980000 29.474678 3.731498 	 -4.140000 29.474678 3.676190 	 -0.020000 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 -8.000000 29.369614 3.777198 	 -4.150001 29.369614 3.710828 	 -0.050000 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 -8.020000 29.264549 3.822698 	 -4.160000 29.264549 3.745265 	 -0.080000 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 -8.040000 29.159485 3.867997 	 -4.170001 29.159485 3.779504 	 -0.110000 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 -8.059999 29.054420 3.913097 	 -4.180000 29.054420 3.813541 	 -0.140000 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 -8.080000 28.949356 3.957997 	 -4.190001 28.949356 3.847379 	 -0.170000 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 -8.099999 28.844292 4.002697 	 -4.200000 28.844292 3.881017 	 -0.200000 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
 -8.120000 28.739227 4.047196 	 -4.210001 28.739227 3.914455 	 -0.230000 28.739227 4.251413 	                    	                    	                    	                    	                    	                    	                    	
 -8.139999 28.634163 4.091496 	 -4.220000 28.634163 3.947693 	 -0.260000 28.634163 4.312731 	                    	                    	                    	                    	                    	                    	                    	
 -8.160000 28.529099 4.135596 	 -4.230000 28.529099 3.980731 	 -0.290000 28.529099 4.373848 	                    	                    	                    	                    	                    	                    	                    	
 -8.179999 28.424034 4.179495 	 -4.240000 28.424034 4.013569 	 -0.320000 28.424034 4.434766 	                    	                    	                    	                    	                    	                    	                    	
 -8.200000 28.318970 4.223195 	 -4.250000 28.318970 4.046207 	 -0.350000 28.318970 4.495484 	                    	                    	                    	                    	                    	                    	                    	
 -8.219999 28.213905 4.266695 	 -4.260000 28.213905 4.078645 	 -0.380000 28.213905 4.556002 	                    	                    	                    	                    	                    	                    	                    	
 -8.240000 28.108841 4.309995 	 -4.270000 28.108841 4.110883 	 -0.410000 28.108841 4.616320 	                    	                    	                    	                    	                    	                    	                    	
 -8.259999 28.003777 4.353094 	 -4.280000 28.003777 4.142921 	 -0.440000 28.003777 4.676437 	                    	                    	                    	                    	                    	                    	                    	
 -8.280000 27.898712 4.395994 	 -4.290000 27.898712 4.174759 	 -0.470000 27.898712 4.736355 	                    	                    	                    	                    	                    	                    	                    	
 -8.299999 27.793648 4.438694 	 -4.300000 27.793648 4.206397 	 -0.500000 27.793648 4.796073 	                    	                    	                    	                    	                    	                    	                    	
 -8.320000 27.688583 4.481194 	 -4.310000 27.688583 4.237835 	 -0.530000 27.688583 4.855591 	                    	                    	                    	                    	                    	                    	                    	
 -8.340000 27.583519 4.523493 	 -4.320001 27.583519 4.269073 	 -0.560000 27.583519 4.914909 	                    	                    	                    	                    	                    	                    	                    	
 -8.360000 27.478455 4.565593 	 -4.330000 27.478455 4.300111 	 -0.590000 27.478455 4.974027 	                    	                    	                    	                    	                    	                    	                    	
 -8.380000 27.373390 4.607492 	 -4.340001 27.373390 4.330949 	 -0.620000 27.373390 5.032944 	                    	                    	                    	                    	                    	                    	                    	
 -8.400000 27.268326 4.649192 	 -4.350000 27.268326 4.361587 	 -0.650000 27.268326 5.091662 	                    	                    	                    	                    	                    	                    	                    	
 -8.420000 27.163261 4.690692 	 -4.360001 27.163261 4.392025 	 -0.680000 27.163261 5.150180 	                    	                    	                    	                    	                    	                    	                    	
 -8.440000 27.058197 4.731991 	 -4.370000 27.058197 4.422263 	 -0.710000 27.058197 5.208498 	                    	                    	                    	                    	                    	                    	                    	
 -8.460000 26.953133 4.773091 	 -4.380001 26.953133 4.452301 	 -0.740000 26.953133 5.266615 	                    	                    	                    	                    	                    	                    	                    	
 -8.480000 26.848068 4.813991 	 -4.390000 26.848068 4.482138 	 -0.770000 26.848068 5.324533 	                    	                    	                    	                    	                    	                    	                    	
 -8.500000 26.743004 4.854691 	 -4.400001 26.743004 4.511776 	 -0.800000 26.743004 5.382250 	                    	                    	                    	                    	                    	                    	                    	
 -8.520000 26.637939 4.895190 	 -4.410000 26.637939 4.541214 	 -0.830000 26.637939 5.439768 	                    	                    	                    	                    	                    	                    	                    	
 -8.540000 26.532875 4.935490 	 -4.420001 26.532875 4.570452 	 -0.860000 26.532875 5.497086 	                    	                    	                    	                    	                    	                    	                    	
 -8.559999 26.427811 4.975589 	 -4.430000 26.427811 4.599490 	 -0.890000 26.427811 5.554204 	                    	                    	                    	                    	                    	                    	                    	
