# Game Session ID 
164 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:49:3 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Throw number 1 of 30
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Bad ball 
 Ball 2 -> Ok ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -7.779999 30.000000 3.500000 	 -4.190001 30.000000 3.500000 	 0.230000 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 -7.799999 29.894936 3.546700 	 -4.200001 29.894936 3.535638 	 0.200000 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 -7.819999 29.789871 3.593199 	 -4.210001 29.789871 3.571076 	 0.170000 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 -7.839999 29.684807 3.639499 	 -4.220001 29.684807 3.606314 	 0.140000 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 -7.859999 29.579742 3.685599 	 -4.230001 29.579742 3.641352 	 0.110000 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 -7.879999 29.474678 3.731498 	 -4.240001 29.474678 3.676190 	 0.080000 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 -7.899999 29.369614 3.777198 	 -4.250001 29.369614 3.710828 	 0.050000 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 -7.919999 29.264549 3.822698 	 -4.260001 29.264549 3.745265 	 0.020000 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 -7.939999 29.159485 3.867997 	 -4.270001 29.159485 3.779504 	 -0.010000 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 -7.959999 29.054420 3.913097 	 -4.280001 29.054420 3.813541 	 -0.040000 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 -7.979999 28.949356 3.957997 	 -4.290001 28.949356 3.847379 	 -0.070000 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 -7.999999 28.844292 4.002697 	 -4.300001 28.844292 3.881017 	 -0.100000 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
 -8.020000 28.739227 4.047196 	 -4.310001 28.739227 3.914455 	 -0.130000 28.739227 4.251413 	                    	                    	                    	                    	                    	                    	                    	
 -8.039999 28.634163 4.091496 	 -4.320001 28.634163 3.947693 	 -0.160000 28.634163 4.312731 	                    	                    	                    	                    	                    	                    	                    	
 -8.059999 28.529099 4.135596 	 -4.330001 28.529099 3.980731 	 -0.190000 28.529099 4.373848 	                    	                    	                    	                    	                    	                    	                    	
 -8.079999 28.424034 4.179495 	 -4.340001 28.424034 4.013569 	 -0.220000 28.424034 4.434766 	                    	                    	                    	                    	                    	                    	                    	
 -8.099999 28.318970 4.223195 	 -4.350001 28.318970 4.046207 	 -0.250000 28.318970 4.495484 	                    	                    	                    	                    	                    	                    	                    	
 -8.119999 28.213905 4.266695 	 -4.360001 28.213905 4.078645 	 -0.280000 28.213905 4.556002 	                    	                    	                    	                    	                    	                    	                    	
 -8.139999 28.108841 4.309995 	 -4.370001 28.108841 4.110883 	 -0.310000 28.108841 4.616320 	                    	                    	                    	                    	                    	                    	                    	
 -8.159999 28.003777 4.353094 	 -4.380001 28.003777 4.142921 	 -0.340000 28.003777 4.676437 	                    	                    	                    	                    	                    	                    	                    	
 -8.179999 27.898712 4.395994 	 -4.390001 27.898712 4.174759 	 -0.370000 27.898712 4.736355 	                    	                    	                    	                    	                    	                    	                    	
 -8.199999 27.793648 4.438694 	 -4.400001 27.793648 4.206397 	 -0.400000 27.793648 4.796073 	                    	                    	                    	                    	                    	                    	                    	
 -8.219999 27.688583 4.481194 	 -4.410001 27.688583 4.237835 	 -0.430000 27.688583 4.855591 	                    	                    	                    	                    	                    	                    	                    	
 -8.240000 27.583519 4.523493 	 -4.420001 27.583519 4.269073 	 -0.460000 27.583519 4.914909 	                    	                    	                    	                    	                    	                    	                    	
 -8.259999 27.478455 4.565593 	 -4.430001 27.478455 4.300111 	 -0.490000 27.478455 4.974027 	                    	                    	                    	                    	                    	                    	                    	
 -8.280000 27.373390 4.607492 	 -4.440001 27.373390 4.330949 	 -0.520000 27.373390 5.032944 	                    	                    	                    	                    	                    	                    	                    	
 -8.299999 27.268326 4.649192 	 -4.450001 27.268326 4.361587 	 -0.550000 27.268326 5.091662 	                    	                    	                    	                    	                    	                    	                    	
 -8.320000 27.163261 4.690692 	 -4.460001 27.163261 4.392025 	 -0.580000 27.163261 5.150180 	                    	                    	                    	                    	                    	                    	                    	
 -8.339999 27.058197 4.731991 	 -4.470001 27.058197 4.422263 	 -0.610000 27.058197 5.208498 	                    	                    	                    	                    	                    	                    	                    	
 -8.360000 26.953133 4.773091 	 -4.480001 26.953133 4.452301 	 -0.640000 26.953133 5.266615 	                    	                    	                    	                    	                    	                    	                    	
 -8.379999 26.848068 4.813991 	 -4.490001 26.848068 4.482138 	 -0.670000 26.848068 5.324533 	                    	                    	                    	                    	                    	                    	                    	
 -8.400000 26.743004 4.854691 	 -4.500001 26.743004 4.511776 	 -0.700000 26.743004 5.382250 	                    	                    	                    	                    	                    	                    	                    	
 -8.419999 26.637939 4.895190 	 -4.510001 26.637939 4.541214 	 -0.730000 26.637939 5.439768 	                    	                    	                    	                    	                    	                    	                    	
