# Game Session ID 
138 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    13:52:2 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.140000 30.000000 3.500000 	 -3.820000 30.000000 3.500000 	 -0.150000 30.000000 3.500000 	                    	                    	                    	                    	                    	
 -8.150001 29.905441 3.546700 	 -3.850000 29.905441 3.535638 	 -0.150000 29.905441 3.563718 	                    	                    	                    	                    	                    	
 -8.160001 29.810884 3.593199 	 -3.880000 29.810884 3.571076 	 -0.150000 29.810884 3.627235 	                    	                    	                    	                    	                    	
 -8.170001 29.716326 3.639499 	 -3.910000 29.716326 3.606314 	 -0.150000 29.716326 3.690553 	                    	                    	                    	                    	                    	
 -8.180000 29.621769 3.685599 	 -3.940000 29.621769 3.641352 	 -0.150000 29.621769 3.753671 	                    	                    	                    	                    	                    	
 -8.190001 29.527210 3.731498 	 -3.970000 29.527210 3.676190 	 -0.150000 29.527210 3.816589 	                    	                    	                    	                    	                    	
 -8.200001 29.432652 3.777198 	 -4.000000 29.432652 3.710828 	 -0.150000 29.432652 3.879307 	                    	                    	                    	                    	                    	
 -8.210001 29.338095 3.822698 	 -4.030000 29.338095 3.745265 	 -0.150000 29.338095 3.941824 	                    	                    	                    	                    	                    	
 -8.220000 29.243536 3.867997 	 -4.060000 29.243536 3.779504 	 -0.150000 29.243536 4.004142 	                    	                    	                    	                    	                    	
 -8.230000 29.148979 3.913097 	 -4.090000 29.148979 3.813541 	 -0.150000 29.148979 4.066260 	                    	                    	                    	                    	                    	
 -8.240001 29.054420 3.957997 	 -4.120000 29.054420 3.847379 	 -0.150000 29.054420 4.128178 	                    	                    	                    	                    	                    	
 -8.250001 28.959862 4.002697 	 -4.150000 28.959862 3.881017 	 -0.150000 28.959862 4.189895 	                    	                    	                    	                    	                    	
 -8.260000 28.865305 4.047196 	 -4.180000 28.865305 3.914455 	 -0.150000 28.865305 4.251413 	                    	                    	                    	                    	                    	
 -8.270000 28.770746 4.091496 	 -4.210000 28.770746 3.947693 	 -0.150000 28.770746 4.312731 	                    	                    	                    	                    	                    	
 -8.280001 28.676189 4.135596 	 -4.240000 28.676189 3.980731 	 -0.150000 28.676189 4.373848 	                    	                    	                    	                    	                    	
 -8.290001 28.581631 4.179495 	 -4.270000 28.581631 4.013569 	 -0.150000 28.581631 4.434766 	                    	                    	                    	                    	                    	
 -8.300000 28.487072 4.223195 	 -4.300000 28.487072 4.046207 	 -0.150000 28.487072 4.495484 	                    	                    	                    	                    	                    	
 -8.310000 28.392515 4.266695 	 -4.330000 28.392515 4.078645 	 -0.150000 28.392515 4.556002 	                    	                    	                    	                    	                    	
 -8.320001 28.297956 4.309995 	 -4.360000 28.297956 4.110883 	 -0.150000 28.297956 4.616320 	                    	                    	                    	                    	                    	
 -8.330001 28.203400 4.353094 	 -4.390000 28.203400 4.142921 	 -0.150000 28.203400 4.676437 	                    	                    	                    	                    	                    	
 -8.340000 28.108841 4.395994 	 -4.420000 28.108841 4.174759 	 -0.150000 28.108841 4.736355 	                    	                    	                    	                    	                    	
 -8.350000 28.014282 4.438694 	 -4.450000 28.014282 4.206397 	 -0.150000 28.014282 4.796073 	                    	                    	                    	                    	                    	
 -8.360001 27.919725 4.481194 	 -4.480000 27.919725 4.237835 	 -0.150000 27.919725 4.855591 	                    	                    	                    	                    	                    	
 -8.370001 27.825167 4.523493 	 -4.510000 27.825167 4.269073 	 -0.150000 27.825167 4.914909 	                    	                    	                    	                    	                    	
 -8.380001 27.730608 4.565593 	 -4.540000 27.730608 4.300111 	 -0.150000 27.730608 4.974027 	                    	                    	                    	                    	                    	
 -8.390000 27.636051 4.607492 	 -4.570000 27.636051 4.330949 	 -0.150000 27.636051 5.032944 	                    	                    	                    	                    	                    	
 -8.400001 27.541492 4.649192 	 -4.600000 27.541492 4.361587 	 -0.150000 27.541492 5.091662 	                    	                    	                    	                    	                    	
 -8.410001 27.446936 4.690692 	 -4.630000 27.446936 4.392025 	 -0.150000 27.446936 5.150180 	                    	                    	                    	                    	                    	
 -8.420001 27.352377 4.731991 	 -4.660000 27.352377 4.422263 	 -0.150000 27.352377 5.208498 	                    	                    	                    	                    	                    	
 -8.430000 27.257820 4.773091 	 -4.690000 27.257820 4.452301 	 -0.150000 27.257820 5.266615 	                    	                    	                    	                    	                    	
 -8.440001 27.163261 4.813991 	 -4.720000 27.163261 4.482138 	 -0.150000 27.163261 5.324533 	                    	                    	                    	                    	                    	
 -8.450001 27.068703 4.854691 	 -4.750000 27.068703 4.511776 	 -0.150000 27.068703 5.382250 	                    	                    	                    	                    	                    	
 -8.460001 26.974146 4.895190 	 -4.780000 26.974146 4.541214 	 -0.150000 26.974146 5.439768 	                    	                    	                    	                    	                    	
 -8.470000 26.879587 4.935490 	 -4.810000 26.879587 4.570452 	 -0.150000 26.879587 5.497086 	                    	                    	                    	                    	                    	
 -8.480000 26.785030 4.975589 	 -4.840000 26.785030 4.599490 	 -0.150000 26.785030 5.554204 	                    	                    	                    	                    	                    	
 -8.490001 26.690472 5.015489 	 -4.870000 26.690472 4.628328 	 -0.150000 26.690472 5.611121 	                    	                    	                    	                    	                    	
 -8.500001 26.595915 5.055189 	 -4.900000 26.595915 4.656966 	 -0.150000 26.595915 5.667839 	                    	                    	                    	                    	                    	
 -8.510000 26.501356 5.094688 	 -4.930000 26.501356 4.685404 	 -0.150000 26.501356 5.724357 	                    	                    	                    	                    	                    	
 -8.520000 26.406799 5.133988 	 -4.960000 26.406799 4.713642 	 -0.150000 26.406799 5.780674 	                    	                    	                    	                    	                    	
 -8.530001 26.312241 5.173088 	 -4.990000 26.312241 4.741680 	 -0.150000 26.312241 5.836792 	                    	                    	                    	                    	                    	
 -8.540001 26.217682 5.211987 	 -5.020000 26.217682 4.769517 	 -0.150000 26.217682 5.892710 	                    	                    	                    	                    	                    	
 -8.550000 26.123125 5.250687 	 -5.050000 26.123125 4.797155 	 -0.150000 26.123125 5.948428 	                    	                    	                    	                    	                    	
 -8.560000 26.028568 5.289186 	 -5.080000 26.028568 4.824594 	 -0.150000 26.028568 6.003945 	                    	                    	                    	                    	                    	
 -8.570001 25.934010 5.327486 	 -5.110000 25.934010 4.851831 	 -0.150000 25.934010 6.059263 	                    	                    	                    	                    	                    	
 -8.580001 25.839451 5.365586 	 -5.140000 25.839451 4.878869 	 -0.150000 25.839451 6.114381 	                    	                    	                    	                    	                    	
 -8.590000 25.744894 5.403486 	 -5.170000 25.744894 4.905707 	 -0.150000 25.744894 6.169299 	                    	                    	                    	                    	                    	
 -8.600000 25.650335 5.441185 	 -5.200000 25.650335 4.932345 	 -0.150000 25.650335 6.224016 	                    	                    	                    	                    	                    	
 -8.610001 25.555779 5.478685 	 -5.230000 25.555779 4.958783 	 -0.150000 25.555779 6.278534 	                    	                    	                    	                    	                    	
 -8.620001 25.461220 5.515985 	 -5.260000 25.461220 4.985021 	 -0.150000 25.461220 6.332851 	                    	                    	                    	                    	                    	
 -8.630000 25.366661 5.553084 	 -5.289999 25.366661 5.011059 	 -0.150000 25.366661 6.386970 	                    	                    	                    	                    	                    	
 -8.640000 25.272104 5.589984 	 -5.320000 25.272104 5.036897 	 -0.150000 25.272104 6.440887 	                    	                    	                    	                    	                    	
 -8.650001 25.177546 5.626684 	 -5.349999 25.177546 5.062535 	 -0.150000 25.177546 6.494605 	                    	                    	                    	                    	                    	
 -8.660001 25.082989 5.663183 	 -5.380000 25.082989 5.087973 	 -0.150000 25.082989 6.548122 	                    	                    	                    	                    	                    	
 -8.670000 24.988430 5.699483 	 -5.409999 24.988430 5.113211 	 -0.150000 24.988430 6.601440 	                    	                    	                    	                    	                    	
 -8.680000 24.893873 5.735583 	 -5.440000 24.893873 5.138248 	 -0.150000 24.893873 6.654558 	                    	                    	                    	                    	                    	
 -8.690001 24.799314 5.771482 	 -5.469999 24.799314 5.163086 	 -0.150000 24.799314 6.707476 	                    	                    	                    	                    	                    	
 -8.700001 24.704758 5.807182 	 -5.500000 24.704758 5.187725 	 -0.150000 24.704758 6.760193 	                    	                    	                    	                    	                    	
 -8.710000 24.610199 5.842681 	 -5.529999 24.610199 5.212162 	 -0.150000 24.610199 6.812711 	                    	                    	                    	                    	                    	
 -8.720000 24.515640 5.877981 	 -5.559999 24.515640 5.236400 	 -0.150000 24.515640 6.865029 	                    	                    	                    	                    	                    	
 -8.730000 24.421083 5.913081 	 -5.589999 24.421083 5.260438 	 -0.150000 24.421083 6.917147 	                    	                    	                    	                    	                    	
 -8.740001 24.326525 5.947981 	 -5.619999 24.326525 5.284276 	 -0.150000 24.326525 6.969064 	                    	                    	                    	                    	                    	
 -8.750000 24.231968 5.982680 	 -5.649999 24.231968 5.307914 	 -0.150000 24.231968 7.020782 	                    	                    	                    	                    	                    	
 -8.760000 24.137409 6.017180 	 -5.679999 24.137409 5.331352 	 -0.150000 24.137409 7.072300 	                    	                    	                    	                    	                    	
 -8.770000 24.042852 6.051480 	 -5.709999 24.042852 5.354590 	 -0.150000 24.042852 7.123618 	                    	                    	                    	                    	                    	
 -8.780001 23.948294 6.085579 	 -5.739999 23.948294 5.377628 	 -0.150000 23.948294 7.174735 	                    	                    	                    	                    	                    	
 -8.790000 23.853737 6.119479 	 -5.769999 23.853737 5.400466 	 -0.150000 23.853737 7.225653 	                    	                    	                    	                    	                    	
 -8.800000 23.759178 6.153179 	 -5.799999 23.759178 5.423104 	 -0.150000 23.759178 7.276371 	                    	                    	                    	                    	                    	
 -8.810000 23.664619 6.186678 	 -5.829999 23.664619 5.445541 	 -0.150000 23.664619 7.326889 	                    	                    	                    	                    	                    	
