# Game Session ID 
137 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    13:48:53 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	
 -8.710001 25.555779 5.478685 	 -5.130000 25.555779 4.958783 	 -0.250000 25.555779 6.278534 	                    	                    	                    	                    	                    	
 -8.720001 25.461220 5.515985 	 -5.160000 25.461220 4.985021 	 -0.250000 25.461220 6.332851 	                    	                    	                    	                    	                    	
 -8.730000 25.366661 5.553084 	 -5.190000 25.366661 5.011059 	 -0.250000 25.366661 6.386970 	                    	                    	                    	                    	                    	
 -8.740001 25.272104 5.589984 	 -5.220000 25.272104 5.036897 	 -0.250000 25.272104 6.440887 	                    	                    	                    	                    	                    	
 -8.750001 25.177546 5.626684 	 -5.250000 25.177546 5.062535 	 -0.250000 25.177546 6.494605 	                    	                    	                    	                    	                    	
 -8.760001 25.082989 5.663183 	 -5.280000 25.082989 5.087973 	 -0.250000 25.082989 6.548122 	                    	                    	                    	                    	                    	
 -8.770000 24.988430 5.699483 	 -5.309999 24.988430 5.113211 	 -0.250000 24.988430 6.601440 	                    	                    	                    	                    	                    	
 -8.780001 24.893873 5.735583 	 -5.340000 24.893873 5.138248 	 -0.250000 24.893873 6.654558 	                    	                    	                    	                    	                    	
 -8.790001 24.799314 5.771482 	 -5.369999 24.799314 5.163086 	 -0.250000 24.799314 6.707476 	                    	                    	                    	                    	                    	
 -8.800001 24.704758 5.807182 	 -5.400000 24.704758 5.187725 	 -0.250000 24.704758 6.760193 	                    	                    	                    	                    	                    	
 -8.810000 24.610199 5.842681 	 -5.429999 24.610199 5.212162 	 -0.250000 24.610199 6.812711 	                    	                    	                    	                    	                    	
 -8.820001 24.515640 5.877981 	 -5.460000 24.515640 5.236400 	 -0.250000 24.515640 6.865029 	                    	                    	                    	                    	                    	
 -8.830001 24.421083 5.913081 	 -5.489999 24.421083 5.260438 	 -0.250000 24.421083 6.917147 	                    	                    	                    	                    	                    	
 -8.840001 24.326525 5.947981 	 -5.520000 24.326525 5.284276 	 -0.250000 24.326525 6.969064 	                    	                    	                    	                    	                    	
 -8.850000 24.231968 5.982680 	 -5.549999 24.231968 5.307914 	 -0.250000 24.231968 7.020782 	                    	                    	                    	                    	                    	
 -8.860001 24.137409 6.017180 	 -5.579999 24.137409 5.331352 	 -0.250000 24.137409 7.072300 	                    	                    	                    	                    	                    	
 -8.870001 24.042852 6.051480 	 -5.609999 24.042852 5.354590 	 -0.250000 24.042852 7.123618 	                    	                    	                    	                    	                    	
 -8.880001 23.948294 6.085579 	 -5.639999 23.948294 5.377628 	 -0.250000 23.948294 7.174735 	                    	                    	                    	                    	                    	
 -8.890000 23.853737 6.119479 	 -5.669999 23.853737 5.400466 	 -0.250000 23.853737 7.225653 	                    	                    	                    	                    	                    	
 -8.900001 23.759178 6.153179 	 -5.699999 23.759178 5.423104 	 -0.250000 23.759178 7.276371 	                    	                    	                    	                    	                    	
 -8.910001 23.664619 6.186678 	 -5.729999 23.664619 5.445541 	 -0.250000 23.664619 7.326889 	                    	                    	                    	                    	                    	
 -8.920001 23.570063 6.219978 	 -5.759999 23.570063 5.467780 	 -0.250000 23.570063 7.377206 	                    	                    	                    	                    	                    	
 -8.930000 23.475506 6.253078 	 -5.789999 23.475506 5.489818 	 -0.250000 23.475506 7.427324 	                    	                    	                    	                    	                    	
 -8.940001 23.380947 6.285977 	 -5.819999 23.380947 5.511655 	 -0.250000 23.380947 7.477242 	                    	                    	                    	                    	                    	
 -8.950001 23.286388 6.318677 	 -5.849999 23.286388 5.533293 	 -0.250000 23.286388 7.526959 	                    	                    	                    	                    	                    	
 -8.960001 23.191832 6.351177 	 -5.879999 23.191832 5.554731 	 -0.250000 23.191832 7.576477 	                    	                    	                    	                    	                    	
 -8.970000 23.097273 6.383476 	 -5.909999 23.097273 5.575969 	 -0.250000 23.097273 7.625795 	                    	                    	                    	                    	                    	
 -8.980000 23.002716 6.415576 	 -5.939999 23.002716 5.597007 	 -0.250000 23.002716 7.674912 	                    	                    	                    	                    	                    	
 -8.990001 22.908157 6.447475 	 -5.969999 22.908157 5.617845 	 -0.250000 22.908157 7.723830 	                    	                    	                    	                    	                    	
 -9.000001 22.813599 6.479176 	 -5.999999 22.813599 5.638483 	 -0.250000 22.813599 7.772548 	                    	                    	                    	                    	                    	
 -9.010000 22.719042 6.510675 	 -6.029999 22.719042 5.658921 	 -0.250000 22.719042 7.821066 	                    	                    	                    	                    	                    	
 -9.020000 22.624485 6.541975 	 -6.059999 22.624485 5.679159 	 -0.250000 22.624485 7.869383 	                    	                    	                    	                    	                    	
 -9.030001 22.529926 6.573074 	 -6.089999 22.529926 5.699197 	 -0.250000 22.529926 7.917501 	                    	                    	                    	                    	                    	
 -9.040001 22.435368 6.603974 	 -6.119999 22.435368 5.719035 	 -0.250000 22.435368 7.965419 	                    	                    	                    	                    	                    	
 -9.050000 22.340811 6.634674 	 -6.149999 22.340811 5.738673 	 -0.250000 22.340811 8.013137 	                    	                    	                    	                    	                    	
 -9.060000 22.246252 6.665174 	 -6.179999 22.246252 5.758111 	 -0.250000 22.246252 8.060655 	                    	                    	                    	                    	                    	
 -9.070001 22.151695 6.695473 	 -6.209999 22.151695 5.777349 	 -0.250000 22.151695 8.107972 	                    	                    	                    	                    	                    	
 -9.080001 22.057137 6.725573 	 -6.239999 22.057137 5.796387 	 -0.250000 22.057137 8.155089 	                    	                    	                    	                    	                    	
 -9.090000 21.962578 6.755472 	 -6.269999 21.962578 5.815225 	 -0.250000 21.962578 8.202007 	                    	                    	                    	                    	                    	
 -9.100000 21.868021 6.785172 	 -6.299999 21.868021 5.833862 	 -0.250000 21.868021 8.248725 	                    	                    	                    	                    	                    	
 -9.110001 21.773464 6.814672 	 -6.329998 21.773464 5.852300 	 -0.250000 21.773464 8.295243 	                    	                    	                    	                    	                    	
 -9.120001 21.678905 6.843971 	 -6.359999 21.678905 5.870538 	 -0.250000 21.678905 8.341560 	                    	                    	                    	                    	                    	
 -9.130000 21.584347 6.873071 	 -6.389998 21.584347 5.888576 	 -0.250000 21.584347 8.387678 	                    	                    	                    	                    	                    	
 -9.140000 21.489790 6.901971 	 -6.419999 21.489790 5.906414 	 -0.250000 21.489790 8.433597 	                    	                    	                    	                    	                    	
 -9.150001 21.395231 6.930670 	 -6.449998 21.395231 5.924052 	 -0.250000 21.395231 8.479314 	                    	                    	                    	                    	                    	
 -9.160001 21.300674 6.959170 	 -6.479999 21.300674 5.941490 	 -0.250000 21.300674 8.524832 	                    	                    	                    	                    	                    	
 -9.170000 21.206116 6.987470 	 -6.509998 21.206116 5.958728 	 -0.250000 21.206116 8.570149 	                    	                    	                    	                    	                    	
 -9.180000 21.111557 7.015570 	 -6.539999 21.111557 5.975766 	 -0.250000 21.111557 8.615267 	                    	                    	                    	                    	                    	
 -9.190001 21.017000 7.043469 	 -6.569998 21.017000 5.992604 	 -0.250000 21.017000 8.660185 	                    	                    	                    	                    	                    	
 -9.200001 20.922443 7.071169 	 -6.599998 20.922443 6.009242 	 -0.250000 20.922443 8.704903 	                    	                    	                    	                    	                    	
 -9.210000 20.827885 7.098669 	 -6.629998 20.827885 6.025680 	 -0.250000 20.827885 8.749420 	                    	                    	                    	                    	                    	
 -9.220000 20.733326 7.125968 	 -6.659998 20.733326 6.041918 	 -0.250000 20.733326 8.793738 	                    	                    	                    	                    	                    	
 -9.230000 20.638769 7.153068 	 -6.689998 20.638769 6.057956 	 -0.250000 20.638769 8.837855 	                    	                    	                    	                    	                    	
 -9.240001 20.544212 7.179967 	 -6.719998 20.544212 6.073793 	 -0.250000 20.544212 8.881773 	                    	                    	                    	                    	                    	
 -9.250000 20.449654 7.206667 	 -6.749999 20.449654 6.089432 	 -0.250000 20.449654 8.925491 	                    	                    	                    	                    	                    	
 -9.260000 20.355095 7.233167 	 -6.779998 20.355095 6.104869 	 -0.250000 20.355095 8.969009 	                    	                    	                    	                    	                    	
 -9.270000 20.260536 7.259467 	 -6.809999 20.260536 6.120108 	 -0.250000 20.260536 9.012327 	                    	                    	                    	                    	                    	
 -9.280001 20.165977 7.285566 	 -6.839998 20.165977 6.135146 	 -0.250000 20.165977 9.055445 	                    	                    	                    	                    	                    	
 -9.290000 20.071421 7.311466 	 -6.869998 20.071421 6.149983 	 -0.250000 20.071421 9.098362 	                    	                    	                    	                    	                    	
 -9.300000 19.976864 7.337166 	 -6.899998 19.976864 6.164621 	 -0.250000 19.976864 9.141080 	                    	                    	                    	                    	                    	
 -9.310000 19.882305 7.362666 	 -6.929998 19.882305 6.179060 	 -0.250000 19.882305 9.183598 	                    	                    	                    	                    	                    	
 -9.320001 19.787746 7.387965 	 -6.959998 19.787746 6.193297 	 -0.250000 19.787746 9.225916 	                    	                    	                    	                    	                    	
 -9.330000 19.693190 7.413065 	 -6.989998 19.693190 6.207335 	 -0.250000 19.693190 9.268033 	                    	                    	                    	                    	                    	
 -9.340000 19.598633 7.437964 	 -7.019998 19.598633 6.221173 	 -0.250000 19.598633 9.309951 	                    	                    	                    	                    	                    	
 -9.350000 19.504074 7.462664 	 -7.049998 19.504074 6.234811 	 -0.250000 19.504074 9.351668 	                    	                    	                    	                    	                    	
 -9.360001 19.409515 7.487164 	 -7.079998 19.409515 6.248249 	 -0.250000 19.409515 9.393187 	                    	                    	                    	                    	                    	
 -9.370000 19.314959 7.511464 	 -7.109998 19.314959 6.261487 	 -0.250000 19.314959 9.434505 	                    	                    	                    	                    	                    	
 -9.380000 19.220400 7.535563 	 -7.139998 19.220400 6.274525 	 -0.250000 19.220400 9.475622 	                    	                    	                    	                    	                    	
 -9.390000 19.125843 7.559463 	 -7.169998 19.125843 6.287363 	 -0.250000 19.125843 9.516540 	                    	                    	                    	                    	                    	
 -9.400001 19.031284 7.583163 	 -7.199998 19.031284 6.300001 	 -0.250000 19.031284 9.557258 	                    	                    	                    	                    	                    	
 -9.410000 18.936726 7.606662 	 -7.229998 18.936726 6.312438 	 -0.250000 18.936726 9.597775 	                    	                    	                    	                    	                    	
 -9.420000 18.842169 7.629962 	 -7.259998 18.842169 6.324677 	 -0.250000 18.842169 9.638093 	                    	                    	                    	                    	                    	
 -9.430000 18.747612 7.653062 	 -7.289998 18.747612 6.336715 	 -0.250000 18.747612 9.678211 	                    	                    	                    	                    	                    	
 -9.440001 18.653053 7.675961 	 -7.319998 18.653053 6.348553 	 -0.250000 18.653053 9.718128 	                    	                    	                    	                    	                    	
 -9.450000 18.558495 7.698661 	 -7.349998 18.558495 6.360190 	 -0.250000 18.558495 9.757846 	                    	                    	                    	                    	                    	
 -9.460000 18.463938 7.721161 	 -7.379998 18.463938 6.371628 	 -0.250000 18.463938 9.797364 	                    	                    	                    	                    	                    	
 -9.470000 18.369379 7.743461 	 -7.409998 18.369379 6.382866 	 -0.250000 18.369379 9.836681 	                    	                    	                    	                    	                    	
 -9.480000 18.274822 7.765560 	 -7.439998 18.274822 6.393904 	 -0.250000 18.274822 9.875799 	                    	                    	                    	                    	                    	
 -9.490000 18.180264 7.787460 	 -7.469998 18.180264 6.404742 	 -0.250000 18.180264 9.914717 	                    	                    	                    	                    	                    	
 -9.500000 18.085705 7.809160 	 -7.499998 18.085705 6.415380 	 -0.250000 18.085705 9.953435 	                    	                    	                    	                    	                    	
 -9.510000 17.991148 7.830659 	 -7.529998 17.991148 6.425818 	 -0.250000 17.991148 9.991953 	                    	                    	                    	                    	                    	
 -9.520000 17.896591 7.851959 	 -7.559998 17.896591 6.436056 	 -0.250000 17.896591 10.030271 	                    	                    	                    	                    	                    	
 -9.530000 17.802032 7.873058 	 -7.589998 17.802032 6.446094 	 -0.250000 17.802032 10.068388 	                    	                    	                    	                    	                    	
 -9.540000 17.707474 7.893958 	 -7.619998 17.707474 6.455932 	 -0.250000 17.707474 10.106306 	                    	                    	                    	                    	                    	
 -9.550000 17.612917 7.914658 	 -7.649998 17.612917 6.465570 	 -0.250000 17.612917 10.144024 	                    	                    	                    	                    	                    	
 -9.560000 17.518360 7.935158 	 -7.679997 17.518360 6.475008 	 -0.250000 17.518360 10.181541 	                    	                    	                    	                    	                    	
 -9.570000 17.423801 7.955457 	 -7.709998 17.423801 6.484246 	 -0.250000 17.423801 10.218859 	                    	                    	                    	                    	                    	
 -9.580000 17.329243 7.975557 	 -7.739997 17.329243 6.493284 	 -0.250000 17.329243 10.255977 	                    	                    	                    	                    	                    	
 -9.590000 17.234684 7.995457 	 -7.769998 17.234684 6.502122 	 -0.250000 17.234684 10.292894 	                    	                    	                    	                    	                    	
 -9.600000 17.140127 8.015157 	 -7.799997 17.140127 6.510760 	 -0.250000 17.140127 10.329613 	                    	                    	                    	                    	                    	
 -9.610000 17.045570 8.034657 	 -7.829998 17.045570 6.519198 	 -0.250000 17.045570 10.366130 	                    	                    	                    	                    	                    	
 -9.620000 16.951012 8.053956 	 -7.859997 16.951012 6.527436 	 -0.250000 16.951012 10.402448 	                    	                    	                    	                    	                    	
 -9.630000 16.856453 8.073055 	 -7.889997 16.856453 6.535474 	 -0.250000 16.856453 10.438565 	                    	                    	                    	                    	                    	
 -9.640000 16.761896 8.091955 	 -7.919997 16.761896 6.543312 	 -0.250000 16.761896 10.474483 	                    	                    	                    	                    	                    	
 -9.650000 16.667339 8.110655 	 -7.949997 16.667339 6.550950 	 -0.250000 16.667339 10.510201 	                    	                    	                    	                    	                    	
 -9.660000 16.572781 8.129154 	 -7.979997 16.572781 6.558387 	 -0.250000 16.572781 10.545719 	                    	                    	                    	                    	                    	
 -9.670000 16.478222 8.147454 	 -8.009997 16.478222 6.565626 	 -0.250000 16.478222 10.581037 	                    	                    	                    	                    	                    	
 -9.680000 16.383663 8.165554 	 -8.039997 16.383663 6.572663 	 -0.250000 16.383663 10.616155 	                    	                    	                    	                    	                    	
 -9.690000 16.289106 8.183454 	 -8.069997 16.289106 6.579501 	 -0.250000 16.289106 10.651073 	                    	                    	                    	                    	                    	
 -9.700000 16.194550 8.201154 	 -8.099998 16.194550 6.586139 	 -0.250000 16.194550 10.685790 	                    	                    	                    	                    	                    	
 -9.710000 16.099991 8.218653 	 -8.129997 16.099991 6.592577 	 -0.250000 16.099991 10.720307 	                    	                    	                    	                    	                    	
 -9.720000 16.005432 8.235953 	 -8.159997 16.005432 6.598815 	 -0.250000 16.005432 10.754625 	                    	                    	                    	                    	                    	
 -9.730000 15.910875 8.253053 	 -8.189997 15.910875 6.604853 	 -0.250000 15.910875 10.788743 	                    	                    	                    	                    	                    	
 -9.740000 15.816318 8.269952 	 -8.219997 15.816318 6.610691 	 -0.250000 15.816318 10.822660 	                    	                    	                    	                    	                    	
 -9.750000 15.721760 8.286652 	 -8.249997 15.721760 6.616329 	 -0.250000 15.721760 10.856379 	                    	                    	                    	                    	                    	
 -9.760000 15.627201 8.303151 	 -8.279997 15.627201 6.621767 	 -0.250000 15.627201 10.889896 	                    	                    	                    	                    	                    	
 -9.770000 15.532643 8.319451 	 -8.309997 15.532643 6.627005 	 -0.250000 15.532643 10.923214 	                    	                    	                    	                    	                    	
 -9.780000 15.438086 8.335551 	 -8.339997 15.438086 6.632043 	 -0.250000 15.438086 10.956332 	                    	                    	                    	                    	                    	
 -9.790000 15.343528 8.351451 	 -8.369997 15.343528 6.636881 	 -0.250000 15.343528 10.989249 	                    	                    	                    	                    	                    	
 -9.800000 15.248970 8.367150 	 -8.399997 15.248970 6.641519 	 -0.250000 15.248970 11.021968 	                    	                    	                    	                    	                    	
 -9.809999 15.154412 8.382650 	 -8.429996 15.154412 6.645957 	 -0.250000 15.154412 11.054485 	                    	                    	                    	                    	                    	
 -9.820000 15.059855 8.397950 	 -8.459997 15.059855 6.650195 	 -0.250000 15.059855 11.086803 	                    	                    	                    	                    	                    	
 -9.830000 14.965297 8.413050 	 -8.489997 14.965297 6.654233 	 -0.250000 14.965297 11.118920 	                    	                    	                    	                    	                    	
 -9.840000 14.870739 8.427949 	 -8.519997 14.870739 6.658071 	 -0.250000 14.870739 11.150838 	                    	                    	                    	                    	                    	
 -9.849999 14.776180 8.442649 	 -8.549996 14.776180 6.661709 	 -0.250000 14.776180 11.182556 	                    	                    	                    	                    	                    	
 -9.860000 14.681623 8.457149 	 -8.579997 14.681623 6.665147 	 -0.250000 14.681623 11.214074 	                    	                    	                    	                    	                    	
 -9.870000 14.587065 8.471448 	 -8.609997 14.587065 6.668385 	 -0.250000 14.587065 11.245392 	                    	                    	                    	                    	                    	
 -9.880000 14.492507 8.485548 	 -8.639997 14.492507 6.671423 	 -0.250000 14.492507 11.276509 	                    	                    	                    	                    	                    	
 -9.889999 14.397949 8.499448 	 -8.669996 14.397949 6.674261 	 -0.250000 14.397949 11.307427 	                    	                    	                    	                    	                    	
 -9.900000 14.303391 8.513147 	 -8.699997 14.303391 6.676898 	 -0.250000 14.303391 11.338145 	                    	                    	                    	                    	                    	
 -9.910000 14.208834 8.526648 	 -8.729997 14.208834 6.679337 	 -0.250000 14.208834 11.368663 	                    	                    	                    	                    	                    	
 -9.920000 14.114276 8.539947 	 -8.759996 14.114276 6.681575 	 -0.250000 14.114276 11.398980 	                    	                    	                    	                    	                    	
 -9.929999 14.019718 8.553046 	 -8.789996 14.019718 6.683612 	 -0.250000 14.019718 11.429098 	                    	                    	                    	                    	                    	
 -9.940000 13.925159 8.565946 	 -8.819997 13.925159 6.685451 	 -0.250000 13.925159 11.459016 	                    	                    	                    	                    	                    	
 -9.950000 13.830603 8.578646 	 -8.849997 13.830603 6.687088 	 -0.250000 13.830603 11.488734 	                    	                    	                    	                    	                    	
 -9.960000 13.736044 8.591146 	 -8.879996 13.736044 6.688527 	 -0.250000 13.736044 11.518251 	                    	                    	                    	                    	                    	
 -9.969999 13.641487 8.603445 	 -8.909996 13.641487 6.689764 	 -0.250000 13.641487 11.547569 	                    	                    	                    	                    	                    	
 -9.980000 13.546928 8.615545 	 -8.939997 13.546928 6.690803 	 -0.250000 13.546928 11.576687 	                    	                    	                    	                    	                    	
 -9.990000 13.452372 8.627444 	 -8.969996 13.452372 6.691640 	 -0.250000 13.452372 11.605605 	                    	                    	                    	                    	                    	
 -10.000000 13.357813 8.639144 	 -8.999996 13.357813 6.692278 	 -0.250000 13.357813 11.634322 	                    	                    	                    	                    	                    	
 -10.009999 13.263254 8.650644 	 -9.029996 13.263254 6.692717 	 -0.250000 13.263254 11.662841 	                    	                    	                    	                    	                    	
 -10.020000 13.168697 8.661943 	 -9.059997 13.168697 6.692954 	 -0.250000 13.168697 11.691158 	                    	                    	                    	                    	                    	
 -10.030000 13.074139 8.673043 	 -9.089996 13.074139 6.692992 	 -0.250000 13.074139 11.719275 	                    	                    	                    	                    	                    	
 -10.040000 12.979582 8.683944 	 -9.119996 12.979582 6.692831 	 -0.250000 12.979582 11.747193 	                    	                    	                    	                    	                    	
 -10.049999 12.885023 8.694643 	 -9.149996 12.885023 6.692468 	 -0.250000 12.885023 11.774911 	                    	                    	                    	                    	                    	
 -10.059999 12.790466 8.705143 	 -9.179996 12.790466 6.691906 	 -0.250000 12.790466 11.802429 	                    	                    	                    	                    	                    	
 -10.070000 12.695908 8.715443 	 -9.209996 12.695908 6.691144 	 -0.250000 12.695908 11.829747 	                    	                    	                    	                    	                    	
 -10.080000 12.601351 8.725542 	 -9.239996 12.601351 6.690182 	 -0.250000 12.601351 11.856865 	                    	                    	                    	                    	                    	
 -10.089999 12.506792 8.735442 	 -9.269996 12.506792 6.689020 	 -0.250000 12.506792 11.883782 	                    	                    	                    	                    	                    	
 -10.099999 12.412233 8.745142 	 -9.299996 12.412233 6.687658 	 -0.250000 12.412233 11.910501 	                    	                    	                    	                    	                    	
 -10.110000 12.317677 8.754642 	 -9.329996 12.317677 6.686096 	 -0.250000 12.317677 11.937018 	                    	                    	                    	                    	                    	
 -10.120000 12.223118 8.763941 	 -9.359996 12.223118 6.684334 	 -0.250000 12.223118 11.963336 	                    	                    	                    	                    	                    	
 -10.129999 12.128561 8.773041 	 -9.389996 12.128561 6.682372 	 -0.250000 12.128561 11.989453 	                    	                    	                    	                    	                    	
 -10.139999 12.034002 8.781940 	 -9.419996 12.034002 6.680210 	 -0.250000 12.034002 12.015371 	                    	                    	                    	                    	                    	
 -10.150000 11.939445 8.790640 	 -9.449996 11.939445 6.677848 	 -0.250000 11.939445 12.041089 	                    	                    	                    	                    	                    	
 -10.160000 11.844887 8.799140 	 -9.479996 11.844887 6.675286 	 -0.250000 11.844887 12.066607 	                    	                    	                    	                    	                    	
