# Game Session ID 
3 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    18:14:5 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -7.980000 30.000000 3.500000 	 -3.990000 30.000000 3.500000 	 0.030000 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 -8.000000 29.894936 3.546700 	 -4.000000 29.894936 3.535638 	 0.000000 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 -8.020000 29.789871 3.593199 	 -4.010000 29.789871 3.571076 	 -0.030000 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 -8.040000 29.684807 3.639499 	 -4.020000 29.684807 3.606314 	 -0.060000 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 -8.060000 29.579742 3.685599 	 -4.030000 29.579742 3.641352 	 -0.090000 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 -8.080000 29.474678 3.731498 	 -4.040000 29.474678 3.676190 	 -0.120000 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 -8.100000 29.369614 3.777198 	 -4.050000 29.369614 3.710828 	 -0.150000 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 -8.120000 29.264549 3.822698 	 -4.060000 29.264549 3.745265 	 -0.180000 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 -8.140000 29.159485 3.867997 	 -4.070000 29.159485 3.779504 	 -0.210000 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 -8.160000 29.054420 3.913097 	 -4.080000 29.054420 3.813541 	 -0.240000 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 -8.180000 28.949356 3.957997 	 -4.090000 28.949356 3.847379 	 -0.270000 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
